Device Category,In-Market Segment,Affinity Category (reach),Day of Week,Source / Medium,Avg. % Conversion Probability,Avg. Session Duration,New Users,Sessions,Avg. Order Value,Avg. QTY
desktop,Consumer Electronics/Mobile Phones,Shoppers/Value Shoppers,1,sites.google.com / referral,13.9,0:02:44,8,19,$0.00,0
desktop,Consumer Electronics/Mobile Phones,Technology/Mobile Enthusiasts,1,sites.google.com / referral,13.9,0:02:44,8,19,$0.00,0
desktop,Consumer Electronics/Mobile Phones,Technology/Technophiles,1,sites.google.com / referral,13.9,0:02:44,8,19,$0.00,0
desktop,Home & Garden/Home Furnishings,Lifestyles & Hobbies/Fashionistas,1,mall.googleplex.com / referral,13.9,0:05:49,7,18,$315.37,18
desktop,Travel/Hotels & Accommodations,Lifestyles & Hobbies/Shutterbugs,0,sites.google.com / referral,13.9,0:06:03,4,11,$0.00,0
desktop,Employment/Sales & Marketing Jobs,Sports & Fitness/Health & Fitness Buffs,1,mall.googleplex.com / referral,13.9,0:05:30,6,17,$132.73,1.56
desktop,Telecom/Mobile Phone Service Providers,Lifestyles & Hobbies/Business Professionals,1,mall.googleplex.com / referral,13.9,0:07:21,6,17,$81.58,1
desktop,Home & Garden/Home Furnishings,Home & Garden/Home Decor Enthusiasts,1,mall.googleplex.com / referral,13.9,0:05:49,6,18,$315.37,18
desktop,Travel/Car Rental,Lifestyles & Hobbies/Art & Theater Aficionados,1,mall.googleplex.com / referral,13.9,0:07:33,5,15,$74.26,5.4
desktop,Travel/Hotels & Accommodations,Travel/Business Travelers,0,sites.google.com / referral,13.8,0:07:19,5,12,$0.00,0
desktop,Home & Garden/Home Decor,Shoppers/Shoppers by Store Type/Department Store Shoppers,1,mall.googleplex.com / referral,13.8,0:03:32,7,13,$71.85,15
desktop,Travel/Hotels & Accommodations/Vacation Rentals,Lifestyles & Hobbies/Art & Theater Aficionados,1,mall.googleplex.com / referral,13.8,0:04:45,3,12,$0.00,0
desktop,Travel/Hotels & Accommodations,Technology/Mobile Enthusiasts,0,mall.googleplex.com / referral,13.8,0:02:49,4,13,$20.78,2
desktop,Travel/Hotels & Accommodations,News & Politics/Avid News Readers,0,sites.google.com / referral,13.8,0:07:07,6,13,$0.00,0
desktop,Home & Garden/Home & Garden Services,Travel/Travel Buffs,1,mall.googleplex.com / referral,13.8,0:07:17,5,12,$73.80,1.5
desktop,Travel/Hotels & Accommodations,Shoppers/Shoppers by Store Type/Department Store Shoppers,1,mall.googleplex.com / referral,13.8,0:06:13,12,31,$90.03,4.2
desktop,Real Estate/Residential Properties/Residential Properties (For Sale),Food & Dining/Coffee Shop Regulars,1,mall.googleplex.com / referral,13.7,0:05:29,6,12,$83.16,1
desktop,Real Estate/Residential Properties/Residential Properties (For Sale)/Houses (For Sale)/Preowned Houses (For Sale),Food & Dining/Coffee Shop Regulars,1,mall.googleplex.com / referral,13.7,0:05:29,6,12,$83.16,1
desktop,Home & Garden/Home Furnishings,Lifestyles & Hobbies/Business Professionals,1,mall.googleplex.com / referral,13.7,0:06:13,6,22,$315.37,18
desktop,Real Estate/Residential Properties,Media & Entertainment/Movie Lovers,1,mall.googleplex.com / referral,13.7,0:04:31,11,21,$0.00,0
desktop,Consumer Electronics/Mobile Phones,Lifestyles & Hobbies/Business Professionals,1,sites.google.com / referral,13.7,0:03:21,6,12,$0.00,0
desktop,Travel/Vacation Packages,Technology/Technophiles,1,mall.googleplex.com / referral,13.7,0:07:04,5,13,$19.19,1
desktop,Telecom/Mobile Phone Service Providers,Travel/Travel Buffs,1,mall.googleplex.com / referral,13.7,0:08:15,5,15,$81.58,1
desktop,Business Services/Advertising & Marketing Services,Technology/Technophiles,0,sites.google.com / referral,13.7,0:05:17,4,12,$0.00,0
desktop,Travel/Hotels & Accommodations/Vacation Rentals,Food & Dining/Coffee Shop Regulars,1,mall.googleplex.com / referral,13.7,0:04:53,3,11,$0.00,0
desktop,Software/Business & Productivity Software,Shoppers/Luxury Shoppers,1,mall.googleplex.com / referral,13.7,0:06:05,9,30,$52.17,6.33
desktop,Consumer Electronics/Audio/Speakers,Lifestyles & Hobbies/Shutterbugs,1,(direct) / (none),13.6,0:03:23,6,11,$0.00,0
desktop,Financial Services/Investment Services,News & Politics/Avid News Readers/Avid Political News Readers,0,mall.googleplex.com / referral,13.6,0:01:47,5,15,$70.36,1
